Day ,Time,MC,Speaker,Company,Bio ,Talk Topic,Slides,Kim reached out
Sunday ,10:35-11:00,Anjali,Emily Rasowsky,EF & liber8,"Emily Rasowsky is a multidisciplinary entrepreneur, healer and marketing professional. She is the co-founder of Liber8, an AI healing company mapping the human psyche and working at the intersection of chronic illness, cancer, and trauma. She has 13+ years of hands-on healing experience and has worked with doctors, shamans, and technologists to explore the cutting edge of transformation. She simultaneously has built a career as a leading marketing and communications professional as one of the founding members of Amazon Care - Amazon's healthcare division. She is also the founder of Pop Agency, a web3 marketing agency she ran for 4 years. She now works at the Ethereum Foundation on the Comms Coordination team and continues to support healing clients using her methodology.",,NO,email 2/5
Sunday ,11:05-11:30,Anjali,Carter,Fhenix ,Ecosystem Engineer at Fhenix ,,,
Sunday ,11:35-12:15,Anjali,Eric Alston,CU Research ,Teaches in the finance division @ Leeds (CU Boulder) with research into privacy-forward constitutional design x onchain governance,Privacy (tech) as a democratic constitutional commitmnet,,
Sunday ,12:20-12:55,Anjali,Andy Guzman,Ethereum Foundation ,"Andy leads PSE at the Ethereum Foundation, a group of teams dedicated to R&D and coordination of Privacy on Ethereum ecosystem.",,,
Sunday ,12:55-1:55,LUNCH BREAK,,,,,,
Sunday ,2:00-2:50,Anjali,Naomi Brockwell ,Ludlow Institute,"Naomi Brockwell is the President and Founder of the Ludlow Institute, a non-profit dedicated to advancing freedom through technology. Their media arm, NBTV, has over 1 million subscribers across platforms and over 100 million views of their videos, educating people on how to reclaim their privacy and autonomy online. Ludlow Institute also has a grants programs that funds research into the surveillance embedded in everyday technology. Naomi is also the author of “Beginner's Introduction To Privacy”.",,,email 2/5
Sunday ,2:55-3:25,Anjali,Griff Green & Kevin Owocki ,,,,,
Sunday ,3:30-4:00,Anjali,Francesco Andreoli,MataMask,"Francesco Andreoli is the Director of Developer Relations at MetaMask, where he leads developer strategy across smart accounts, permissions, SDKs, and next-generation wallet infrastructure. He focuses on bridging product, engineering, and developer communities, with an emphasis on account abstraction, programmable permissions, and agent-native workflows.​ Francesco is also a Founding Venture Partner at Oui Capital, an Africa-focused venture fund, where he works closely with founders on early product strategy, developer ecosystems, and go-to-market execution.​ He is an active builder and ecosystem contributor, organizing global Builder Nights, moderating technical panels at major Web3 conferences, and experimenting hands-on with agent economies, bot infrastructure, and onchain credit primitives. His work sits at the intersection of developers, capital, and programmable money.",EIP8004,,
Sunday ,4:05-4:30,Anjali,Public Good Funding Track ,,,,,
Sunday ,4:35-5:35,Anjali,Closing Ceremony ,,,,,
Sunday ,5:35-6:35,Anjali,Happy Hour hosted by Fhenix in lounge,,,,,
